rouge1: 0.21686746987951808, rouge2: 0.04938271604938272, rougeL: 0.12048192771084337
rouge1: 0.17691192805839193, rouge2: 0.03657456860781482, rougeL: 0.12639012437301592
rouge1: 0.1960906703766307, rouge2: 0.04587900433246869, rougeL: 0.13788752598208612
rouge1: 0.19865637577890735, rouge2: 0.04160456877278161, rougeL: 0.1372778548278016
rouge1: 0.20324788282267062, rouge2: 0.04618238736228845, rougeL: 0.1401682628652492
rouge1: 0.2002553962047938, rouge2: 0.04781528014137882, rougeL: 0.14098216373753142
rouge1: 0.20265613241602679, rouge2: 0.0509869692728021, rougeL: 0.14275271017825727
rouge1: 0.20446426852192026, rouge2: 0.0502984748930663, rougeL: 0.14217659156982568
rouge1: 0.2082695739188086, rouge2: 0.0488724000313518, rougeL: 0.14138144119880133
rouge1: 0.2038082657120466, rouge2: 0.04645145698753562, rougeL: 0.13919340604662006
rouge1: 0.20332335821682976, rouge2: 0.04659835845951661, rougeL: 0.13909495478550646
rouge1: 0.20265135435031498, rouge2: 0.04643732797414601, rougeL: 0.13947003816260492
rouge1: 0.202117133617465, rouge2: 0.04834706957319798, rougeL: 0.14033785312529637
rouge1: 0.20431853436311675, rouge2: 0.05079867382699141, rougeL: 0.1427576678701777
rouge1: 0.202375428178139, rouge2: 0.05087989995701367, rougeL: 0.14228662264677072
rouge1: 0.20631359011437905, rouge2: 0.05309270040120702, rougeL: 0.14363921717119232
rouge1: 0.2067351913115152, rouge2: 0.05408630744529808, rougeL: 0.14370341990774949
rouge1: 0.2081500640507691, rouge2: 0.053953315665748146, rougeL: 0.1435712879312589
rouge1: 0.20743458783455193, rouge2: 0.05360204504115561, rougeL: 0.1434293782232011
rouge1: 0.20650796025277443, rouge2: 0.053888299652690444, rougeL: 0.14332020954485153
rouge1: 0.20547080302373427, rouge2: 0.05386704126384245, rougeL: 0.14269264225568673
rouge1: 0.20675158414542932, rouge2: 0.055125270253945584, rougeL: 0.14397026232868548
rouge1: 0.20667929179886824, rouge2: 0.054473380626243524, rougeL: 0.14425714677502632
rouge1: 0.20705802408249352, rouge2: 0.055287064202465756, rougeL: 0.14461396799692497
rouge1: 0.20792048004172084, rouge2: 0.055175170692014636, rougeL: 0.1453287297165526
rouge1: 0.20816137853707206, rouge2: 0.05568286650965882, rougeL: 0.1460399894965225
rouge1: 0.20814914270639434, rouge2: 0.05559318949822396, rougeL: 0.1458275234431039
rouge1: 0.20843072255065537, rouge2: 0.05547281897414389, rougeL: 0.14584857744259802
rouge1: 0.20812192481872738, rouge2: 0.054969469833577145, rougeL: 0.14571858000072674
rouge1: 0.2082189529749288, rouge2: 0.055020358485556725, rougeL: 0.1458636318418098
rouge1: 0.2086101450503852, rouge2: 0.0550984705913701, rougeL: 0.14605532325282683
rouge1: 0.20819053232350698, rouge2: 0.055014362918879324, rougeL: 0.14572448677286634
rouge1: 0.20834482969134221, rouge2: 0.054652460919972244, rougeL: 0.14535523507014678
rouge1: 0.20797737771660582, rouge2: 0.05476036412013233, rougeL: 0.14536257237026506
rouge1: 0.20878245763649977, rouge2: 0.05510174821196766, rougeL: 0.14550807836226112
rouge1: 0.209509062399895, rouge2: 0.05578586030615878, rougeL: 0.14604906711010288
rouge1: 0.209886669231421, rouge2: 0.05577832847495618, rougeL: 0.14621807055061575
rouge1: 0.20972881092715673, rouge2: 0.05581957279770067, rougeL: 0.1467906785679965
rouge1: 0.2092006489592941, rouge2: 0.055765313360960564, rougeL: 0.14662077802528128
rouge1: 0.2084555612341045, rouge2: 0.05544521228395245, rougeL: 0.14620166274127047
rouge1: 0.20888708328410852, rouge2: 0.05512187652236157, rougeL: 0.14649703589989913
rouge1: 0.20882048580280566, rouge2: 0.055008347193081814, rougeL: 0.146438905226397
rouge1: 0.20904686980436304, rouge2: 0.055416353177648106, rougeL: 0.1467855191720131
rouge1: 0.20806060782305263, rouge2: 0.0547917889204128, rougeL: 0.1461703804039071
rouge1: 0.20799017369570097, rouge2: 0.05433033264914895, rougeL: 0.14585537620417777
rouge1: 0.20840402853100698, rouge2: 0.0542656790788838, rougeL: 0.145770192371314
rouge1: 0.20906202483625583, rouge2: 0.05403953164460449, rougeL: 0.14595818861973553
rouge1: 0.20866399860361223, rouge2: 0.053811299191791444, rougeL: 0.1459821530841804
rouge1: 0.20927358913142013, rouge2: 0.054042007662475314, rougeL: 0.1461014276983017
rouge1: 0.20930710016943052, rouge2: 0.05460525198533928, rougeL: 0.14673593335615923
rouge1: 0.20882412703800773, rouge2: 0.054417844045971185, rougeL: 0.14654830945809738
rouge1: 0.2085606720034549, rouge2: 0.05402057537920337, rougeL: 0.1463732916802638
