rouge1: 0.29502854300740095, rouge2: 0.04881076490804798, rougeL: 0.14266123418418128
rouge1: 0.2857175138474377, rouge2: 0.03826828860002311, rougeL: 0.13807296241861264
rouge1: 0.30140014106186563, rouge2: 0.043737998260291726, rougeL: 0.14282926931589074
rouge1: 0.3031035125578629, rouge2: 0.04671461318449194, rougeL: 0.14177099136252913
rouge1: 0.2974896776321515, rouge2: 0.04557798069149438, rougeL: 0.1394047958528784
rouge1: 0.2911388221673398, rouge2: 0.0442301424427008, rougeL: 0.1385630502678776
rouge1: 0.2932348832915429, rouge2: 0.04385583585945321, rougeL: 0.1394067203596976
rouge1: 0.2941757880590264, rouge2: 0.04456525207941768, rougeL: 0.1394146145223513
rouge1: 0.29349594215784514, rouge2: 0.045766332835338666, rougeL: 0.13933798140849415
rouge1: 0.29415971549496145, rouge2: 0.04698128583224282, rougeL: 0.13984721003722375
rouge1: 0.2943217746306993, rouge2: 0.04663439029038443, rougeL: 0.1402240327574726
rouge1: 0.2898723123119535, rouge2: 0.04557276965495405, rougeL: 0.13919614270868666
rouge1: 0.2881649997544656, rouge2: 0.04519322237592627, rougeL: 0.13847273265644724
rouge1: 0.28902166039461835, rouge2: 0.045354299205223485, rougeL: 0.13897603164048272
rouge1: 0.2873487495452843, rouge2: 0.04508343076369315, rougeL: 0.13881246545812545
rouge1: 0.28335134684251917, rouge2: 0.044870359716349145, rougeL: 0.13789647877536987
rouge1: 0.2841972372891736, rouge2: 0.04580642757723974, rougeL: 0.13831478647353776
rouge1: 0.2826236792130692, rouge2: 0.04523477197891342, rougeL: 0.1378359176906317
rouge1: 0.2824136711345179, rouge2: 0.04538980491309138, rougeL: 0.1378326106303521
rouge1: 0.2827293841420718, rouge2: 0.045584214814162534, rougeL: 0.13820740330320325
rouge1: 0.28459023037201164, rouge2: 0.04632156772242982, rougeL: 0.13877813787359444
rouge1: 0.28600074349467447, rouge2: 0.046438978221309456, rougeL: 0.13945883646193635
rouge1: 0.28689641230031093, rouge2: 0.04677386599041214, rougeL: 0.1397362342974112
rouge1: 0.2884063120837323, rouge2: 0.047001175071405964, rougeL: 0.1405344233534588
rouge1_avg: 0.04792328738210571, rouge2_avg: 0.007874396658009198, rougeL_avg: 0.02337502333705069
