rouge1: 0.14285714285714285, rouge2: 0.04807692307692308, rougeL: 0.09523809523809525
rouge1: 0.14188314720170048, rouge2: 0.03327830465846106, rougeL: 0.10016709126233846
rouge1: 0.14768232544795673, rouge2: 0.03560940575250505, rougeL: 0.1045378786190236
rouge1: 0.14689814904676313, rouge2: 0.03575949600877138, rougeL: 0.10505770825094105
rouge1: 0.14592082718880853, rouge2: 0.036615315755001064, rougeL: 0.1046070407840908
rouge1: 0.14770571157662957, rouge2: 0.037126814845772446, rougeL: 0.10497606150657937
rouge1: 0.14869036963944718, rouge2: 0.0377694152635891, rougeL: 0.10538558886107376
rouge1: 0.14904051847742297, rouge2: 0.03833147038193428, rougeL: 0.10544679929828858
rouge1: 0.14901246803736978, rouge2: 0.03810628598759322, rougeL: 0.10558484185548357
rouge1: 0.14837518622634058, rouge2: 0.03829443985152657, rougeL: 0.10548649835314954
rouge1: 0.14797965260612833, rouge2: 0.03795713755488768, rougeL: 0.10531248534168082
rouge1: 0.14785186306307055, rouge2: 0.03785793714144838, rougeL: 0.10525925967930896
rouge1: 0.1480706537453769, rouge2: 0.037782449325714514, rougeL: 0.10554471152263203
rouge1: 0.1468158516203154, rouge2: 0.03748976409740287, rougeL: 0.10480578191660159
rouge1: 0.14677556097673639, rouge2: 0.03746667296614638, rougeL: 0.10486836751252433
rouge1: 0.14726029171430938, rouge2: 0.03760041780230699, rougeL: 0.1051041087614158
rouge1: 0.14773523371799085, rouge2: 0.037788294906614346, rougeL: 0.10534587695940445
rouge1: 0.14751944094459904, rouge2: 0.0378399909732532, rougeL: 0.10520108398284636
rouge1: 0.14759620923825623, rouge2: 0.037794372639925564, rougeL: 0.10517770357543305
